Category,Key,English,Simplified Chinese,Notes
main menu,menu1,Continue Game,继续游戏,
,menu2,Start Game with Tutorial,开始游戏, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,自定义游戏, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,选项设置,
,menu6,Credits,制作名单,
,menu5,Quit Game,退出游戏,
,menu7,Save Manager,存档管理,
,menu8,Atlas,物品图鉴, WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,《背包英雄》开发团队：,
,cr2,Translators:,本地化：,
,cr3,Additional content by:,额外内容创作：,
,cr4,All rights owned by:,版权归属：,
,cr5,Fonts:,字体：,
,cr6,Created with:,开发工具：,
,cr7,Special Thanks:,特别鸣谢：,
,cr8,Kickstarter supporters:,Kickstarter 赞助者：,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!",开发者的话：<br><br>非常感谢大家在抢先体验阶段支持我们的游戏！《背包英雄》仍在开发中，新的功能和内容将很快到来！如果对游戏有任何疑问和反馈，请加入我们的官方QQ群：735011723 联系我们！（本地化版本0817）,
,earlyAccess2,Next Major Update:,下一次重大更新：,
,earlyAccess3,September,九月,
,earlyAccess4,New Character - Satchel,新角色：挎包鸭,
,earlyAccess5,Thank you! From:,再次感谢大家！您真诚的：,
demo Text,demo1,New characters and costumes are available in the full version!,新角色与时装将会在完整版中上线！,
,demo2,Please wishlist and follow us on Steam now!,请在 Steam 上将本游戏添加至愿望单，并关注我们！,
,demo3,Early Access begins August 2022!,抢先体验版将于 2022 年 8 月发布！,
,demo4,CR-8 coming July 2022!,新角色 CR-8 将于 2022 年 7 月发布！,
options,opt1,Music Volume,音乐音量,
,opt2,SFX Volume,音效音量,
,opt3,Item Animation Speed,物品动画速度,
,opt4,Brightness,亮度,
,opt5,Rotate,旋转按钮,
,optt1,Emojis,表情符号,
,optt2,Combat Animations,战斗动画,
,opt6,FPS,帧数,
