Category,Key,English,Chinese (Traditional),Notes
main menu,menu1,Continue Game,繼續遊戲,
,menu2,Start Game with Tutorial,開始遊戲, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,自訂遊戲, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,系統設定,
,menu6,Credits,製作名單,
,menu5,Quit Game,離開遊戲,
,menu7,Save Manager,保存管理器, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,項目圖集, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,「背包英雄」由以下人員製作：,
,cr2,Translators:,翻譯者：,
,cr3,Additional content by:,額外內容創作者：,
,cr4,All rights owned by:,所有權利歸屬於：,
,cr5,Fonts:,字型：,
,cr6,Created with:,開發用軟體：,
,cr7,Special Thanks:,特別感謝：,
,cr8,Kickstarter supporters:,Kickstarter 支持者：,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!",來自開發者 Jas 的消息：<br><br>非常感謝您在搶先體驗期間支持我們的遊戲！背包英雄還沒完！新功能和內容即將推出！如果您對遊戲有任何疑問，請聯繫我們！我們試圖在我們的社交媒體和 Steam 上回應我們所能做的一切！, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,下一次重大更新：, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,九月, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,新角色 - 挎包, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,謝謝！從：, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,新角色與新服裝將會在完整版中推出！,
,demo2,Please wishlist and follow us on Steam now!,請在 Steam 上加入願望清單並關注我們！,
,demo3,Early Access begins August 2022!,遊戲將於 2022 年 8 月開始搶先體驗！,
,demo4,CR-8 coming July 2022!,CR-8 將於 2022 年 7 月實裝！,
options,opt1,Music Volume,音樂,
,opt2,SFX Volume,音效,
,opt3,Item Animation Speed,物品動畫速度,
,opt4,Brightness,亮度,
,opt5,Rotate,旋轉按鈕,
,optt1,Emojis,表情符號, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,戰鬥動畫, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,幀率,
,opt7,Screen Size,螢幕尺寸,
,opt8,Quality,畫質,
,opt8b,Resolution,解析度,
,opt9,Language,語言,
,opt10,Return to Menu,返回主選單,
,opt11,Delete on Game Over,遊戲結束時刪除, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,沒有保存遊戲, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,組 ID /x 已復制！, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,點這裡！,
,sellHere,Drag to me to Sell,拖到這裡來賣出！,
,removeHere,I can remove a carving - for a price,只要給我工錢，我就幫你移除這個雕飾！, WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,我不收那些！,
,noMoreSale,I won't take more items!,我無法再收購了！,
,on,on,開啟,
,off,off,關閉,
,windowed,windowed,視窗化,
,full screen,full screen,全螢幕,
,borderless,borderless,無邊框,
,unlimited,unlimited,無限制,
,low,low,低,
,medium,medium,中,
,high,high,高,
Item Atlas,ia1,Can only be found by:,只能通過以下方式找到：, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,只能在以下位置找到：, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,查看資訊卡,
,cm2,Use item,使用物品,
,cm3,Use Item Max Times,使用物品直到無法繼續,
,cm4,Reroll Items,重骰物品,
,cm5,Discover passage,發現密道,
,cm6,Summon enemies,召喚敵人,
,cm7,Add reward,增加獎勵的拿取數量,
,cm8,Duplicate potion,複製藥水,
,cm9,Combine potions,組合藥水,
,cm10,Flip switch,撥動開關,
,cm11,Return carving,回雕, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,去除雕刻, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,現在整理背包就可佔有此物品！,
,gm1,Finished!,完成！,
,gm2,Must be in an empty room!,只能在空房間進行存檔！,
,gm3,Cannot save right now!,現在無法存檔！,
,gm4,Complete tutorial to save!,完成教學才能存檔！,
,gm5,Cannnot save while moving!,移動時無法存檔！,
,gm6,Finale,終點,
,gm7,Part /x of /y,路段 /x / /y,
,gm8,Finished Choosing,結束挑選,
,gm9,Can't take more items,無法拿取更多物品,
,gm10,Take /x items,還能拿取 /x 件物品,
,gm11,Take 1 item,還能拿取 1 件物品,
,gmb,Battle Start!,戰鬥開始！,
,gmpt,Player Turn!,玩家的回合！,
,gmet,Enemy Turn!,敵方的回合！,
,gm12,You win!,勝利！,
,gm13,Level Up!,升級！,
,gm14,Get items!,獲得物品！,
,gm14b,End Battle!,結束戰鬥！,
,gm15,Not enough energy,能量不足,
,gm16,Any items left outside the backpack will be lost,留在背包外的物品將會遺失,
,gm17,Finished Reorganizing,結束整理,
,gm18,Save Failed!,存檔失敗！,
,gm19,You have been cursed!,你被詛咒了！,
,gm20,Skip curse. Take /x damage,跳過詛咒，受到 /x 點傷害,
,gm21,Choose an item,挑選一件物品,
,gm22,Never Mind,還是算了,
,gm23,You must place all curses!,你必須放入所有的詛咒！,
,gm24,Cannot be combined with selected item,無法與選擇的物品組合,
,gm25,Cannot be used!,無法使用！,
,gm26,Not enough connected Mana,接通的法力不足,
,gm27,Not enough Gold,金幣不足,
,gm28,No more uses this combat,本場戰鬥的使用次數已耗盡,
,gm29,No more uses this turn,本回合的使用次數已耗盡,
,gm30,No more uses,使用次數已耗盡,
,gm31,This item is disabled,此物品已失效,
,gm32,Anchored,被固定住了,
,gm33,Cannot move a curse,無法移動詛咒,
,gm34,Cannot move here,無法移動到這裡,
,gm35,Cannot afford,付不起錢,
,gm36,Cannot place here,無法放到這裡,
,gm37,Finish Battle to Continue,完成戰鬥才能繼續,
,gm38,Can't move here!,無法移動到這裡！,
,gm39,Pathway blocked!,通道被堵住了！,
,gm40,Game Loaded,遊戲已讀檔,
,gm41,Game Saved,遊戲已存檔,
,gmillusory,Illusory spaces can only hold carvings,虛幻的空間只能容納雕刻, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,重試,
,gm42,Choose /x spaces,選擇 /x 個格子, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,整理背包時無法打出雕飾,
,gm44,You cannot leave this item behind: ,你無法留下此物品：, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm45,Item has an invalid placement,未與相同類型或稀有度的物品相鄰, WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,輸入文字。 . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,更多遊戲模式, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,你無法留下你的核心,
,gmSatchel1,Items must be placed on a rune space!,物品必須放置在符文格子內！,
,gmSatchel2,You can't move items once they're crammed in!,你無法移動被塞滿的物品！,
,gmSatchel3,There's no space to cram it in!,沒有可以塞入的格子！,
Tote,gmTote1,Carvings must be placed in your Backpack,雕飾必須放到背包內,
,gmTote2,Carvings in hand,未抽取的雕飾,
,gmTote3,Discarded Carvings,已丟棄的雕飾,
,gmTote4,Banished Carvings,已排除的雕飾,
Run Types,rt1,standard,標準,
,rt1d,A basic run with no special settings!,沒有特殊設定的基本玩法！,
,rt2,No experience,無經驗,
,rt3,Bombs Away,炸出生天,
,rt4,Easy Mode,簡單模式,
,rt5,Hard Mode,困難模式,
,rt5b,Hard Mode 2,困難模式 2,
,rt5c,Hard Mode 3,困難模式 3,
,rt5dd,Hard Mode 4,困難模式 4,
,rt5v5,Hard Mode 5,困難模式 5,
,rt5e,Unfair Mode,不公平模式,
,rt5f,Hard Puzzle Mode,困難謎題模式,
,rt6,Pauper Mode,貧民模式,
,rt7,Glass Cannon,玻璃大砲,
,rt8,5 by 5 challenge,五乘五挑戰,
,rt8b,5 by 7 challenge,五乘七挑戰,
,rt9,Another way,另一種方式,
,rt10,Big Mode,大大麻煩,
,rt11,Classic Matthew,經典馬修,
,rt12,Endless Dream,無盡好夢,
,rt13,Great Pair,好事成雙,
,rt14,Horrible Curse,惡咒纏身,
,rt15,Horrible Luck,地城倒楣鬼,
,rt16,Lethal,死到臨頭,
,rt17,Penny Pincher,愛財如命,
,rt18,Puzzle Mode,謎題模式,
,rt19,Quick and Easy,快速又簡單,
,rt20,Scaling Energy,增長能量,
,rt21,Small Paws,小小爪掌,
,rt22,Standard Energy,標準能量,
,rt23,Strong Start,強勢起步,
,rt24,Trash Blaster,垃圾大爆射,
,rt25,Wrecked Relics,空無遺物,
,rt26,Boss Rush,老闆拉什, WARNING: AUTO-TRANSLATION #####################################################
,rt27,Ever changing,不斷變化, WARNING: AUTO-TRANSLATION #####################################################
,rt28,Adaptive,自適應, WARNING: AUTO-TRANSLATION #####################################################
,Run modifier,Run modifier,玩法調節器,
Run Type Text,rte1,Has been completed!,已通關！,
,rte2b,This run was unlocked by completing:,此玩法已解鎖，因為你通關以下玩法：,
,rte2,This run is locked until you complete:,此玩法被封鎖，直到你通關以下玩法：,
,rte3,Locked!,被封鎖！,
Run Type Descriptors,rtd1,You cannot earn experience,你無法獲得經驗,
,rtd2,You start with these items. You must keep them the entire run:,你開局擁有以下物品，並且必須帶著它們來通關遊戲：,
,rtd3,You can take /x items after each standard battle,你可以在每次一般戰鬥結束後拿取 /x 件物品,
,rtd4,/x to max health,/x 最大血量,
,rtd5,/x% each time you earn xp,/x% 每次獲得的經驗值,
,rtd6,/x% each time you earn gold,/x% 每次獲得的金幣,
,rtd7,/x% to enemy health,/x% 敵人血量,
,rtd8,Backpack limited to /x spaces wide,背包的寬度限制為 /x 格,
,rtd9,You can only find common and uncommon items,你只會找到普通和精良的物品,
,rtd10,You start with these items:,你開局擁有以下物品：,
,rtd11,You cannot find these items:,你無法找到以下物品：,
,rtd12,Standard chests contain /x items,/x 標準寶箱的物品數量,
,rtd13,Enemy attacks get /x% damage,/x% 敵人攻擊傷害,
,rtd14,You cannot find items of this type:,你無法找到以下類型的物品：,
,rtd15,All weapons receive /x% bonus damage,所有的武器獲得 /x% 傷害倍率,
,rtd16,/x% to luck,/x% 運氣,
,rtd17,All status effects deal damage and disappear each turn,所有狀態效果在每回合造成傷害並消失,
,rtd18,Start the game from Matthew,從馬修的隱居處開始遊戲,
,rtd19,Your max health is /x,你的最大血量為 /x 點,
,rtd20,Instead of standard items - find a chest after each combat,每次戰鬥結束後會找到一個箱子，而非一般的物品獎勵,
,rtd21,Instead of standard items - find a store after each combat,每次戰鬥結束後會找到一間商店，而非一般的物品獎勵,
,rtd22,You can only find /x space items,你只會找到大小是 /x 格的物品,
,rtd23,You can only find items that are /x spaces or larger,你只會找到大小是 /x 格以上的物品,
,rtd24,Your energy starts at /x and increases each turn,你的第一回合獲得 /x 點能量，每回合逐漸增加,
,rtd25,You get /x energy each turn,你每回合獲得 /x 點能量,
,rtd26,You cannot find relics,你無法找到遺物,
,rtd27,There is only one floor before each boss,只需通過一層普通樓層就能見到首領,
,rtd28,Enemies will never poison the player,敵方不會對玩家施加中毒,
,rtd29,Don't start with standard items,開局物品與標準的不同,
,rtd30,Items must be placed adjacent to an item of the same type or rarity. This excludes your starting items:,物品必須與相同類型或稀有度的物品相鄰，只有你的起始物品例外：,
,rtd31,Enemies will never curse the player,敵方不會對玩家施加詛咒,
,rtd32,Backpack starts at /x spaces wide,背包的開局寬度為 /x 格,
,rtd33,Go directly to each Boss,直接去找每個Boss, WARNING: AUTO-TRANSLATION #####################################################
,rtd34,Start in a room with:,從一個房間開始：, WARNING: AUTO-TRANSLATION #####################################################
,rtd35,All items are replaced after each battle,每次戰鬥後更換所有物品, WARNING: AUTO-TRANSLATION #####################################################
minigames,mini1,Spin /x gold,轉動（ /x 枚金幣）,
,mini2,Spin - free,轉動（免費）,
,mini3,Can't leave yet,現在還不能離開,
,mini4,Finish your guess to leave,猜完後才能離開,
,mini5,No more guesses!,無法繼續遊玩！,
,mini6,Matching,好運成雙,
,mini7,You have /x guesses remaining,你還有 /x 次機會,
tutorials,tut1,In combat you click items to use them. You must defeat all enemies to continue.,你必須擊敗所有敵人才能繼續前行，請點擊物品來使用它們進行戰鬥。,
,tut2,"Add all items to your backpack to continue! While holding an item, you can press right mouse or arrow keys to rotate it!",請把物品都放入背包內；在選取一件物品時，按下滑鼠右鍵或方向鍵可以旋轉方向！,
,tutCR81,Put items in the path of your core. Use your core to activate them,將物品放在核心的輸出路徑上，再使用你的核心來啟動它們,
,tutCR82,"If multiple items are in the path, they will all be used",如果輸出路徑上有多件物品，它們都將被使用,
,tutCR83,"If an item occupies multiple spaces, it can be used multiple times",如果一件物品佔用多個格子，它可以被多次使用,
,tutCR84,You can redirect the path of your charge,你能改變充能的方向,
,tutCR85,"If you don't have enough energy to use an item, the charge is lost. Use a splitter to divide a charge. The energy is rounded up!",如果你沒有足夠的能量來使用某件物品，那麼充能就會流失。使用分離器來分割充能。能量會被四捨五入！,
,tutCR86,Use multiple different charges to hit the same item several times,使用多發不同的充能來多次擊中同一個物品,
,tutCR87,"Once a charge has 0 energy, it is destroyed. Use any 0 energy items first",一旦充能的能量降為 0，它就會被摧毀。請先使用任意 0 耗能量的物品,
,tutCR88,Some items create charges on their own!,有些物品會生成自己的充能！,
,tutTote1,Each turn Tote draws 3 carvings. Drag them to your bag to summon them.,每回合手提包繪製 3 個雕刻。將它們拖到您的包中以召喚它們。, WARNING: AUTO-TRANSLATION #####################################################
,tutTote2,Some carvings can be used after they are summoned.,一些雕刻在召喚後可以使用。, WARNING: AUTO-TRANSLATION #####################################################
,tutTote3,Some carvings have a cost to summon - shown at the bottom of the card.,有些雕刻需要召喚費用 - 顯示在卡片底部。, WARNING: AUTO-TRANSLATION #####################################################
