Category,Key,English,Czech,Notes
main menu,menu1,Continue Game,Pokračovat ve hře,
,menu2,Start Game with Tutorial,Nová hra, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Nová Vlastní hra, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Nastavení,
,menu6,Credits,Titulky, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Ukončit hru,
,menu7,Save Manager,Uložit správce, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Atlas položek, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero vytvořili:, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Překladatelé:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Další obsah od:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Všechna práva vlastní:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Písma:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Vytvořeno pomocí:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Zvláštní poděkování:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Na Kickstarteru nás podpořili:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Zpráva od vývojáře Jas: <br><br>Mockrát vám děkujeme za podporu naší hry v předběžném přístupu! Backpack Hero není dokončen! Nové funkce a obsah již brzy! Pokud máte nějaké obavy ohledně hry, kontaktujte nás! Snažíme se reagovat na vše, co můžeme na našich sociálních sítích a na Steamu!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Další velká aktualizace:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,září, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Nová postava - Satchel, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Děkuji! Z:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Nové postavy a kostýmy jsou k dispozici v plné verzi!, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,Přidejte si prosím hru do seznamu přání a sledujte nás na Steamu!, WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,Předběžný přístup začíná v srpnu 2022!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,CR-8 přichází v červenci 2022!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Hudba,
,opt2,SFX Volume,Efekty,
,opt3,Item Animation Speed,Rychlost animací,
,opt4,Brightness,Jas,
,opt5,Rotate,Otočit,
,optt1,Emojis,Emojis, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Bojové animace, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Velikost obrazovky,
,opt8,Quality,Nastavení grafiky,
,opt8b,Resolution,Rozlišení, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Jazyk,
,opt10,Return to Menu,Zpět do Menu,
,opt11,Delete on Game Over,Smazat na konci hry, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Žádné ukládání her, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,ID skupiny /x zkopírováno!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Klikni na mě!,
,sellHere,Drag to me to Sell,Dej mi předmět na prodej,
