Category,Key,English,Dutch,Notes
main menu,menu1,Continue Game,Vervolg Spel,
,menu2,Start Game with Tutorial,Start Spel, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Start Op Maat Gemaakt Spel, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Opties,
,menu6,Credits,Aftiteling, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Spel Afsluiten,
,menu7,Save Manager,Opgeslagen Spellen Manager, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Voorwerpenencyclopedie, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero is gemaakt door:, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Vertalers:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Extra inhoud door:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Alle rechten zijn eigendom van:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Lettertypen:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Gemaakt met:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Speciale dank aan:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Kickstarter-supporters:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Een bericht van ontwikkelaar Jas: <br><br>Heel erg bedankt voor het ondersteunen van ons in Early Access! Backpack Hero is nog niet af! Nieuwe functies en inhoud komen eraan! Als je vragen hebt over het spel, neem dan contact met ons op! We proberen op onze sociale media en op Steam te reageren op alles wat we kunnen!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Volgende Grote Update:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,september, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Nieuw personage - Zakje, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Bedankt! Van:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Nieuwe karakters en kostuums zijn beschikbaar in de volledige versie!, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,Zet ons op je verlanglijst en volg ons nu op Steam!, WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,Vroege Toegang begint in augustus 2022!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,K-1-ST komt in juli 2022!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Musiek Volume,
,opt2,SFX Volume,SFX Volume,
,opt3,Item Animation Speed,Voorwerp Animatie Snelheid,
,opt4,Brightness,Helderheid,
,opt5,Rotate,Roteren,
,optt1,Emojis,Emojis, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Gevechtsanimaties, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Schermgrootte,
,opt8,Quality,Kwaliteit,
,opt8b,Resolution,Resolutie, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Taal,
,opt10,Return to Menu,Terug naar Hoofdmenu,
,opt11,Delete on Game Over,Verwijderd met Verloren Spel, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Geen opgeslagen spellen, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,Groeps-ID /x gekopieerd!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Klik op mij!,
