Category,Key,English,French,Notes
main menu,menu1,Continue Game,Continuer La Partie,
,menu2,Start Game with Tutorial,Commencer, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Commencer Autres Modes, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Options,
,menu6,Credits,Crédits, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Quitter Le Jeu,
,menu7,Save Manager,Gestionnaire de sauvegarde, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Atlas des objets, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero a été créé par :, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Traducteurs :, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Contenu supplémentaire par :, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Tous les droits appartiennent à :, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Polices :, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Créé avec :, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Remerciement spécial :, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Parrains Kickstarter :, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Un message du développeur Jas : <br><br>Merci beaucoup de soutenir notre jeu en accès anticipé ! Backpack Hero n'est pas terminé ! De nouvelles fonctionnalités et du contenu arrivent bientôt ! Si vous avez des inquiétudes concernant le jeu, veuillez nous contacter ! Nous essayons de répondre à tout ce que nous pouvons sur nos réseaux sociaux et sur Steam !", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Prochaine mise à jour majeure :, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,Septembre, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Nouveau personnage - Cartable, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Merci! De:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,De nouveaux personnages et costumes sont disponibles dans la version complète !, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,S'il vous plaît ajoutez-nous à votre liste de souhait et suivez nous sur Steam dès maintenant !, WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,L'accès anticipé commence en août 2022  !, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,CR-8 à venir en juillet 2022  !, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Volume de la Musique,
,opt2,SFX Volume,Volume des Sons,
,opt3,Item Animation Speed,Vitesse d'animation des objets,
,opt4,Brightness,Luminosité,
,opt5,Rotate,Tourner,
,optt1,Emojis,Émojis, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Animations de combats, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Taille de l'écran,
,opt8,Quality,Qualité,
,opt8b,Resolution,Résolution, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Langage,
,opt10,Return to Menu,Menu Principal,
,opt11,Delete on Game Over,Supprimer à la fin du jeu, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Pas de parties sauvegardées, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,ID de groupe /x copié !, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Clique sur moi !,
,sellHere,Drag to me to Sell,Glisse vers moi pour vendre !,
,removeHere,I can remove a carving - for a price,Je peux enlever cette sculpture - pour un prix, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,Je n'achète pas ça !, WARNING: AUTO-TRANSLATION #####################################################
,noMoreSale,I won't take more items!,Je n'achète qu'un objet !, WARNING: ENGLISH TEXT CHANGED #####################################################
,on,on,on,
,off,off,off,
,windowed,windowed,Fenêtre,
,full screen,full screen,Plein-écran,
,borderless,borderless,Sans rebords,
,unlimited,unlimited,illimité,
,low,low,bas,
,medium,medium,moyen,
,high,high,haut,
Item Atlas,ia1,Can only be found by:,Ne peut être trouvé que par :, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Ne peut être trouvé que dans :, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,Voir la carte, WARNING: AUTO-TRANSLATION #####################################################
,cm2,Use item,Utiliser l'objet, WARNING: AUTO-TRANSLATION #####################################################
,cm3,Use Item Max Times,Utiliser l'objet autant que possible, WARNING: AUTO-TRANSLATION #####################################################
,cm4,Reroll Items,Trouver de nouveaux objets, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Découvrir un passage, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Invoquer des ennemis, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Ajouter une récompense, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Dupliquer une potion, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,Combiner des potions, WARNING: AUTO-TRANSLATION #####################################################
,cm10,Flip switch,Inverser le commutateur, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,Sculpture de retour, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Supprimer la sculpture, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,Réorganise maintenant pour avoir cet objet !,
,gm1,Finished!,Fini !,
,gm2,Must be in an empty room!,Doit être dans une pièce vide !,
,gm3,Cannot save right now!,Impossible d'enregistrer maintenant !,
,gm4,Complete tutorial to save!,Termine le tutoriel pour enregistrer !,
,gm5,Cannnot save while moving!,Impossible d'enregistrer en mouvement !,
,gm6,Finale,Finale,
,gm7,Part /x of /y,Partie /x de /y,
,gm8,Finished Choosing,Choix terminé,
,gm9,Can't take more items,Impossible de prendre plus d'objets !,
,gm10,Take /x items,Prend /x objets,
,gm11,Take 1 item,Prend 1 objet,
,gmb,Battle Start!,Combat !,
,gmpt,Player Turn!,Tour du joueur !,
,gmet,Enemy Turn!,Tour de l'ennemi !,
,gm12,You win!,Victoire !,
,gm13,Level Up!,Niveau augmenté !,
,gm14,Get items!,Prend des objets !,
,gm14b,End Battle!,Termine la bataille  !, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Pas assez d'énergie,
,gm16,Any items left outside the backpack will be lost,Les objets laissés en dehors du sac seront perdus !,
,gm17,Finished Reorganizing,Réorganisation terminée,
,gm18,Save Failed!,Sauvegarde échouée !,
,gm19,You have been cursed!,Tu as été maudit !,
,gm20,Skip curse. Take /x damage,"Évite la malédiction, prend /x dégât",
,gm21,Choose an item,Choisit un objet,
,gm22,Never Mind,Laisse tomber,as a response when not selecting an item
,gm23,You must place all curses!,Tu dois placer toutes les malédictions !,
,gm24,Cannot be combined with selected item,Impossible de combiner avec l'objet séléctioné,
,gm25,Cannot be used!,Ne peut pas être utilisé !,
,gm26,Not enough connected Mana,Pas assez de Mana connécté,
,gm27,Not enough Gold,Pas assez d'Or !,
,gm28,No more uses this combat,Plus d'utilisations ce combat,
,gm29,No more uses this turn,Plus d'utilisations ce tour,
,gm30,No more uses,Plus d'utilisations,
,gm31,This item is disabled,Cet objet est désactivé,
,gm32,Anchored,Ancré,
,gm33,Cannot move a curse,Impossible de deplacer une malédiction,
,gm34,Cannot move here,Impossible d'aller là,
,gm35,Cannot afford,Trop cher,
,gm36,Cannot place here,Impossible de placer ici,
,gm37,Finish Battle to Continue,Termine le combat pour continuer,
,gm38,Can't move here!,Impossible d'aller là !,
,gm39,Pathway blocked!,Chemin bloqué !,
,gm40,Game Loaded,Partie chargée,
,gm41,Game Saved,Partie sauvegardée,
,gmillusory,Illusory spaces can only hold carvings,Les espaces illusoires ne peuvent contenir que des sculptures, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,réessayer,
,gm42,Choose /x spaces,Choisis /x espaces, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Les sculptures ne peuvent pas être jouées pendant la réorganisation, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Tu ne peux pas abandonner cet objet :, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Non adjacent à un objet du même type ou de la même rareté, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Entrez du texte. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Plus de modes de jeu, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Tu ne peux pas abandonner ton noyau, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Les objets doivent etre sur une rune pour être placés !,
,gmSatchel2,You can't move items once they're crammed in!,Impossible de deplacer un objet une fois entassé !,
,gmSatchel3,There's no space to cram it in!,Pas assez d'espace pour entasser !,
