Category,Key,English,Italian,Notes
main menu,menu1,Continue Game,Continua Partita,
,menu2,Start Game with Tutorial,Inizia Partita, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Inizia Partita da Matthew, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Opzioni,
,menu6,Credits,Crediti, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Chiudi Partita,
,menu7,Save Manager,Gestisci Salvataggi, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Atlante, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero è stato creato da:, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Traduttori:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Contenuti aggiuntivi da:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Tutti i diritti di proprietà di:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Caratteri:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Creato con:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Ringraziamenti speciali:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Sostenitori di Kickstarter:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Un messaggio dallo sviluppatore Jas: <br><br>Grazie mille per aver supportato il nostro gioco in accesso anticipato! Backpack Hero non è finito! Nuove funzionalità e contenuti in arrivo! In caso di dubbi sul gioco, contattaci! Cerchiamo di rispondere a tutto ciò che possiamo sui nostri social media e su Steam!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Prossimo Grande aggiornamento:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,settembre, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Nuovo personaggio: Satchel, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Grazie! Da:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Nuovi personaggi e costumi sono disponibili nella versione completa!, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,"Per favore, aggiungi il gioco alla lista dei desideri e seguici su Steam!", WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,L'accesso anticipato inizia ad agosto 2022!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,CR-8 in arrivo a luglio 2022!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Volume Musica,
,opt2,SFX Volume,Volume Effetti Sonori,
,opt3,Item Animation Speed,Velocità animazioni,
,opt4,Brightness,Luminosità,
,opt5,Rotate,Ruota,
,optt1,Emojis,Emojis, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Animazioni di combattimento, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Larghezza Schermo,
,opt8,Quality,Qualità,
,opt8b,Resolution,Risoluzione, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Lingua,
,opt10,Return to Menu,Ritorna al menu,
,opt11,Delete on Game Over,Elimina se Perdi, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Giochi senza Salvataggi, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,ID gruppo /x copiato!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Clicca qui!,
,sellHere,Drag to me to Sell,Trascina verso di me per vendere,WARNING: ENGLISH TEXT CHANGED #####################################################
,removeHere,I can remove a carving - for a price,Posso rimuovere questo intaglio - ma ad un prezzo, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,quelli non li compro!, WARNING: AUTO-TRANSLATION #####################################################
,noMoreSale,I won't take more items!,Non Comprero altro!,WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,on,on,Attivo,
,off,off,Spento,
,windowed,windowed,Finestra,
,full screen,full screen,Schermo intero,
,borderless,borderless,Senza Bordi,
,unlimited,unlimited,Illimitato,
,low,low,Bassa,
,medium,medium,Media,
,high,high,Alta,
Item Atlas,ia1,Can only be found by:,Può essere trovato soltanto da:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Si trova solo in:, WARNING: AUTO-TRANSLATION #####################################################
