Category,Key,English,Japanese,Notes
main menu,menu1,Continue Game,続きから,
,menu2,Start Game with Tutorial,最初から, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,カスタムゲーム, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,オプション,
,menu6,Credits,クレジット,
,menu5,Quit Game,ゲームを終了,
,menu7,Save Manager,セーブマネージャー, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,アイテム図表, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero 制作：,
,cr2,Translators:,ローカライズ：,
,cr3,Additional content by:,追加コンテンツ：,
,cr4,All rights owned by:,すべての権利は以下に帰属します：,
,cr5,Fonts:,フォント：,
,cr6,Created with:,開発ソフト：,
,cr7,Special Thanks:,Special Thanks:,
,cr8,Kickstarter supporters:,Kickstarterサポーター,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!",開発者Jasからのメッセージ：<br><br>早期アクセスでのサポートありがとうございます！Backpack Heroはまだ続きます！新機能やコンテンツは近日公開！何かご意見があれば、ぜひお聞かせください！SNSやSteamのコメントにできる限り対応します！ (0816), WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,次回大型アップデート：, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,9月, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,新キャラ - サッチェル, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,ありがとう！, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,製品版では新キャラクターや新コスチュームが登場！,
,demo2,Please wishlist and follow us on Steam now!,Steamでウィッシュリスト登録&フォローしてね！,
,demo3,Early Access begins August 2022!,早期アクセスは2022年8月から配信！,
,demo4,CR-8 coming July 2022!,2022年7月にはCR-8が登場！,
options,opt1,Music Volume,音楽のボリューム,
,opt2,SFX Volume,サウンドのボリューム,
,opt3,Item Animation Speed,アイテムのアニメーション速度,
,opt4,Brightness,明るさ,
,opt5,Rotate,回転,
