Category,Key,English,Korean,Notes
main menu,menu1,Continue Game,게임 이어하기,
,menu2,Start Game with Tutorial,게임 시작하기, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,맞춤 게임 시작하기, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,환경설정,
,menu6,Credits,만든이들,
,menu5,Quit Game,게임 그만두기,
,menu7,Save Manager,관리자 저장, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,아이템 아틀라스, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,백팩 히어로는 이 사람들이 만들었습니다.,
,cr2,Translators:,번역가들:,
,cr3,Additional content by:,추가 컨텐츠 기여:,
,cr4,All rights owned by:,모든 권한 소유:,
,cr5,Fonts:,글꼴:,
,cr6,Created with:,제작 도구:,
,cr7,Special Thanks:,특별히 감사드립니다,
,cr8,Kickstarter supporters:,킥스타터 후원자들,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","개발자 재스의 쪽지: <br><br>저희 게임을 얼리 액세스에 후원해주셔서 감사드립니다! 백팩 히어로의 개발은 끝난 게 아닙니다! 새로운 기능과 콘텐츠들이 곧 업데이트될 예정입니다! 만약 게임에 목소리를 내고 싶으시다면, 저희에게 얘기해주세요! 저희는 SNS와 스팀에서 여러분들과 소통하기 위해 최선을 다하고 있답니다! (0816)", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,다음 주 업데이트:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,9월, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,새로운 캐릭터 - 사첼, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,감사합니다! 사랑을 담아:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,풀 버전에서는 새로운 캐릭터들과 의상을 사용할 수 있습니다!,
,demo2,Please wishlist and follow us on Steam now!,찜 목록에 추가하고 스팀에서 저희를 팔로우해주세요!,
,demo3,Early Access begins August 2022!,얼리 액세스는 2022년 8월에 시작합니다!,
,demo4,CR-8 coming July 2022!,2022년 7월에 새 캐릭터 CR-8를 기대하세요!,
options,opt1,Music Volume,음악 크기,
,opt2,SFX Volume,음향 크기,
,opt3,Item Animation Speed,아이템 애니메이션 속도,
,opt4,Brightness,밝기,
,opt5,Rotate,회전,
,optt1,Emojis,이모지, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,전투 애니메이션, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,초당 프레임,
,opt7,Screen Size,스크린 크기,
,opt8,Quality,품질,
,opt8b,Resolution,해상도,
,opt9,Language,언어,
,opt10,Return to Menu,메뉴로 돌아가기,
,opt11,Delete on Game Over,게임 오버 시 삭제, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,저장 없는 게임, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,그룹 ID /x 복사됨!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,나를 클릭하세요!,
,sellHere,Drag to me to Sell,드래그해 판매하세요,
,removeHere,I can remove a carving - for a price,인각 하나를 없애주지... 값만 제대로 치른다면., WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,그건 안 살 거야!,
,noMoreSale,I won't take more items!,더 이상은 사지 않겠어!,
,on,on,켜짐,
,off,off,꺼짐,
,windowed,windowed,창 모드,
,full screen,full screen,전체화면,
,borderless,borderless,테두리 없는 창,
,unlimited,unlimited,무제한,
,low,low,낮음,
,medium,medium,중간,
,high,high,높음,
Item Atlas,ia1,Can only be found by:,다음으로만 찾을 수 있음:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,다음 안에서만 찾을 수 있음:, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,카드 보기,
,cm2,Use item,아이템 사용,
,cm3,Use Item Max Times,아이템 최대 횟수 사용,
,cm4,Reroll Items,아이템 리롤,
,cm5,Discover passage,길 발견,
