Category,Key,English,Polish,Notes
main menu,menu1,Continue Game,Kontynuuj grę,
,menu2,Start Game with Tutorial,Rozpocznij Grę od Matthew, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Rozpocznij własną grę, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Opcje,
,menu6,Credits,Twórcy, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Wyjdź z gry,
,menu7,Save Manager,Menedżer Zapisów, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Atlas Przedmiotów, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero został stworzony przez :, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Tłumacze:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Dodatkowa zawartość:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Wszelkie prawa zastrzeżone:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Czcionki:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Stworzono z użyciem:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Szczególne podziękowania:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Wspierający na Kickstarterze:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Wiadomość od dewelopera Jas: <br><br>Dziękujemy bardzo za wsparcie naszej gry we wczesnym dostępie! Backpack Hero jeszcze nie jest skończony! Nowe funkcje i zawartość już wkrótce! Jeśli masz jakiekolwiek uwagi dotyczące gry, skontaktuj się z nami! Staramy się odpowiadać na wszystko, co możemy w naszych mediach społecznościowych i na Steamie!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Następna duża aktualizacja:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,Wrzesień, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Nowa postać - Satchel, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Dziękuję! Od:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Nowe postacie i stroje dla nich są dostępne w pełnej wersji!, WARNING: AUTO-TRANSLATION #####################################################
