Category,Key,English,Romanian,Notes
main menu,menu1,Continue Game,Continuă Jocul,
,menu2,Start Game with Tutorial,Începe Jocul, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Începe Joc Cu Modificații, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Opțiuni,
,menu6,Credits,Credite, WARNING: AUTO-TRANSLATION #####################################################
,menu5,Quit Game,Închide Jocul,
,menu7,Save Manager,Salvările tale, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Compendium, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero(Eroul Ghiozdanelor) a fost creat de:, WARNING: AUTO-TRANSLATION #####################################################
,cr2,Translators:,Traducători:, WARNING: AUTO-TRANSLATION #####################################################
,cr3,Additional content by:,Conținut suplimentar de la:, WARNING: AUTO-TRANSLATION #####################################################
,cr4,All rights owned by:,Toate drepturile deținute de:, WARNING: AUTO-TRANSLATION #####################################################
,cr5,Fonts:,Fonturi:, WARNING: AUTO-TRANSLATION #####################################################
,cr6,Created with:,Creat cu:, WARNING: AUTO-TRANSLATION #####################################################
,cr7,Special Thanks:,Multumiri speciale:, WARNING: AUTO-TRANSLATION #####################################################
,cr8,Kickstarter supporters:,Susținători Kickstarter:, WARNING: AUTO-TRANSLATION #####################################################
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Un mesaj de la dezvoltatorul Jas: <br><br>Vă mulțumim foarte mult pentru susținerea jocului nostru în Accesul premeditar! Backpack Hero(Eroul Ghiozdanelor) nu este terminat! Noi funcții și conținut vor veni în curând! Dacă aveți nelămuriri legate de joc, vă rugăm să ne contactați! Încercăm să răspundem la tot ce putem pe rețelele noastre sociale și pe Steam!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Următoarul pachet de conținut major:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,Septembrie, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Personaj nou - Satchel, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Mulțumim! Din Partea:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Personaje și Costume noi sunt incluse în versiunea completă!, WARNING: AUTO-TRANSLATION #####################################################
,demo2,Please wishlist and follow us on Steam now!,Vă rugăm să ne urmăriți pe Steam și să ne adăugați la lista de dorințe!, WARNING: AUTO-TRANSLATION #####################################################
,demo3,Early Access begins August 2022!,Accesul premeditar începe în august 2022!, WARNING: AUTO-TRANSLATION #####################################################
,demo4,CR-8 coming July 2022!,CR-8 va veni în iulie 2022!, WARNING: AUTO-TRANSLATION #####################################################
options,opt1,Music Volume,Volum Muzică,
,opt2,SFX Volume,Volum SFX,
,opt3,Item Animation Speed,Viteza Animațiilor,
,opt4,Brightness,Luminozitate,
,opt5,Rotate,Buton pentru Rotații,
,optt1,Emojis,Emoticoane, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Animații de bătălie, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Dimensiunile Ecranului,
,opt8,Quality,Calitate,
,opt8b,Resolution,Rezoluţie, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Limbă,
,opt10,Return to Menu,Înapoi la Meniu,
