Category,Key,English,Turkish,Notes
main menu,menu1,Continue Game,Oyuna Devam et,my notes
,menu2,Start Game with Tutorial,Oyuna Başla, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,Özel oyuna başla, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu4,Options,Ayarlar,
,menu6,Credits,Katkıda Bulunanlar,
,menu5,Quit Game,Oyundan Çık,
,menu7,Save Manager,Kayıt Yöneticisi, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,Eşya Rehberi, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
credits,cr1,Backpack Hero was created by:,Backpack Hero yapımcısı:,
,cr2,Translators:,Çevirenler:,
,cr3,Additional content by:,Ek içerik:,
,cr4,All rights owned by:,Hakların sahibi:,
,cr5,Fonts:,Yazı Tipleri:,
,cr6,Created with:,Aracılığıyla oluşturuldu:,
,cr7,Special Thanks:,Özel Teşekkürler:,
,cr8,Kickstarter supporters:,Kickstarter destekçileri:,
Early Access,earlyAccess1,"A message from developer Jas: <br><br>Thank you so much for supporting our game in early access! Backpack Hero isn't finished! New features and content is coming soon! If you have any concerns about the game, please contact us! We try to respond to everything we can on our social media and on Steam!","Geliştirici Jas'tan bir mesaj: <br><br>Oyunumuzu erken erişimde desteklediğiniz için çok teşekkür ederiz! Backpack Hero bitmedi! Yeni özellikler ve içerik yakında geliyor! Oyunla ilgili herhangi bir sorunuz varsa, lütfen bizimle iletişime geçin! Sosyal medyamız ve Steam üzerinden elimizden gelen her şeye yanıt vermeye çalışıyoruz!", WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess2,Next Major Update:,Sonraki Büyük Güncelleme:, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess3,September,Eylül, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess4,New Character - Satchel,Yeni Karakter - El Çantası, WARNING: AUTO-TRANSLATION #####################################################
,earlyAccess5,Thank you! From:,Teşekkürler! Yazan:, WARNING: AUTO-TRANSLATION #####################################################
demo Text,demo1,New characters and costumes are available in the full version!,Yeni karakterler ve kostümler tam sürümde mevcuttur!,
,demo2,Please wishlist and follow us on Steam now!,Lütfen Steam'de bizi istek listesine ekleyip takip edin!,
,demo3,Early Access begins August 2022!,Erken Erişim Ağustos 2022'de başlıyor!,
,demo4,CR-8 coming July 2022!,CR-8 Temmuz 2022'de geliyor!,
options,opt1,Music Volume,Müzik Düzeyi,
,opt2,SFX Volume,Ses Efekti Düzeyi,
,opt3,Item Animation Speed,Eşya Animasyon Hızı,
,opt4,Brightness,Parlaklık,
,opt5,Rotate,Çevir,
,optt1,Emojis,İfadeler, WARNING: AUTO-TRANSLATION #####################################################
,optt2,Combat Animations,Savaş Animasyonları, WARNING: AUTO-TRANSLATION #####################################################
,opt6,FPS,FPS,
,opt7,Screen Size,Ekran Boyutu,
,opt8,Quality,Kalite,
,opt8b,Resolution,Çözünürlük, WARNING: AUTO-TRANSLATION #####################################################
,opt9,Language,Dil,
,opt10,Return to Menu,Menüye Geri Dön,
,opt11,Delete on Game Over,Oyun Bittiğinde Sil, WARNING: AUTO-TRANSLATION #####################################################
,opt12,No save games,Kayıtlı oyun yok, WARNING: AUTO-TRANSLATION #####################################################
,optQQ,Group ID /x copied!,Grup kimliği /x kopyalandı!, WARNING: AUTO-TRANSLATION #####################################################
,clickMe,Click me!,Bana Tıkla!,
,sellHere,Drag to me to Sell,Eşyayı satmak için bana sürükle,
,removeHere,I can remove a carving - for a price,Bu oymayı sökebilirim - belli bir ücret karşılığında, WARNING: ENGLISH TEXT CHANGED #####################################################
,cantSell,I don't buy those!,Onları almıyorum!,
,noMoreSale,I won't take more items!,Daha fazla eşya almayacağım!,
,on,on,açık,
,off,off,kapalı,
,windowed,windowed,pencereli,
,full screen,full screen,tam ekran,
,borderless,borderless,çerçevesiz,
,unlimited,unlimited,limitsiz,
,low,low,düşük,
,medium,medium,orta,
,high,high,yüksek,
Item Atlas,ia1,Can only be found by:,Yalnızca şu kişiler tarafından bulunabilir:, WARNING: AUTO-TRANSLATION #####################################################
,ia2,Can only be found in:,Yalnızca şurada bulunabilir:, WARNING: AUTO-TRANSLATION #####################################################
context menu,cm1,View card,Kartı görüntüle,
,cm2,Use item,Eşyayı kullan,
,cm3,Use Item Max Times,Eşyayı azami sayıda kullan,
,cm4,Reroll Items,Eşyaları zarla, WARNING: AUTO-TRANSLATION #####################################################
,cm5,Discover passage,Geçidi keşfet, WARNING: AUTO-TRANSLATION #####################################################
,cm6,Summon enemies,Düşman çağır, WARNING: AUTO-TRANSLATION #####################################################
,cm7,Add reward,Ödül ekle, WARNING: AUTO-TRANSLATION #####################################################
,cm8,Duplicate potion,Çiftleme iksiri, WARNING: AUTO-TRANSLATION #####################################################
,cm9,Combine potions,İksirleri birleştir, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,cm10,Flip switch,Anahtarı çevir, WARNING: AUTO-TRANSLATION #####################################################
,cm11,Return carving,dönüş oyma, WARNING: AUTO-TRANSLATION #####################################################
,cm12,Remove carving,Oymayı kaldır, WARNING: AUTO-TRANSLATION #####################################################
gameManagerMessages,gmreo,Reorganize now to claim this item!,Bu eşyayı almak için çantanı tekrar düzenle!,
,gm1,Finished!,Bitti!,
,gm2,Must be in an empty room!,Boş bir odada olmalısın!,
,gm3,Cannot save right now!,Şu an kaydedemezsin!,
,gm4,Complete tutorial to save!,Alıştırmayı bitirmeden kaydedemezsin!,
,gm5,Cannnot save while moving!,Hareket ederken kaydedemezsin!,
,gm6,Finale,Son,
,gm7,Part /x of /y,/y / /x ,
,gm8,Finished Choosing,Seçimi Bitir,
,gm9,Can't take more items,Daha fazla eşya alamazsın.,
,gm10,Take /x items,/x eşya al,
,gm11,Take 1 item,1 eşya al,
,gmb,Battle Start!,Savaşı başlat!,
,gmpt,Player Turn!,Oyuncu sırası!,
,gmet,Enemy Turn!,Düşman sırası!,
,gm12,You win!,Kazandın!,
,gm13,Level Up!,Seviye atladın!,
,gm14,Get items!,Eşyaları al!,
,gm14b,End Battle!,Savaşı Bitir!, WARNING: AUTO-TRANSLATION #####################################################
,gm15,Not enough energy,Yeterli enerjin yok,
,gm16,Any items left outside the backpack will be lost,Sırt çantasının dışındaki eşyalar kaybedilecek.,
,gm17,Finished Reorganizing,Tekrar düzenleme bitti.,
,gm18,Save Failed!,Kayıt Hatası!,
,gm19,You have been cursed!,Lanetlendin!,
,gm20,Skip curse. Take /x damage,"Laneti görmezden gelip,  /x hasar al.",
,gm21,Choose an item,Bir eşya seç,
,gm22,Never Mind,Boş ver. Kalsın,as a response when not selecting an item
,gm23,You must place all curses!,Bütün lanetleri çantana yerleştirmek zorundasın!,
,gm24,Cannot be combined with selected item,Seçtiğin eşyayla birleştirilemiyor,
,gm25,Cannot be used!,Kullanılamaz,
,gm26,Not enough connected Mana,Yetersiz bağlı Mana,
,gm27,Not enough Gold,Yeterli altın yok,
,gm28,No more uses this combat,Bu savaş için daha fazla kullanımı kalmadı,
,gm29,No more uses this turn,Aktif sıranda daha fazla kullanamı kalmadı,
,gm30,No more uses,Daha fazla kullanımı kalmadı,
,gm31,This item is disabled,Bu eşya devre dışı,
,gm32,Anchored,Yeri değiştirilemez,
,gm33,Cannot move a curse,Lanetleri hareket ettiremezsin,
,gm34,Cannot move here,Buraya gidemezsin,
,gm35,Cannot afford,Yetersiz bakiye*,
,gm36,Cannot place here,Buraya yerleştiremezsin,
,gm37,Finish Battle to Continue,Devam etmek için savaşı bitir,
,gm38,Can't move here!,Buraya gidemezsin!,
,gm39,Pathway blocked!,Yol kapalı!,
,gm40,Game Loaded,Oyun yüklendi,
,gm41,Game Saved,Oyun kaydedildi,
,gmillusory,Illusory spaces can only hold carvings,Hayali alanlar sadece oymaları tutabilir, WARNING: AUTO-TRANSLATION #####################################################
,retry,retry,Tekrar dene,
,gm42,Choose /x spaces,/x boşluk seç, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm43,Carvings cannot be played while reorganizing,Yeniden düzenleme sırasında oymalar oynanamaz, WARNING: AUTO-TRANSLATION #####################################################
,gm44,You cannot leave this item behind: ,Bu öğeyi geride bırakamazsınız:, WARNING: AUTO-TRANSLATION #####################################################
,gm45,Item has an invalid placement,Aynı türde veya nadirlikte bir öğenin yanında değil, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,gm46,Enter text. . .,Metin girin. . ., WARNING: AUTO-TRANSLATION #####################################################
,gm47,More Game Modes,Daha Fazla Oyun Modu, WARNING: AUTO-TRANSLATION #####################################################
,gmCR81,You cannot leave your core behind,Özünü geride bırakamazsın, WARNING: AUTO-TRANSLATION #####################################################
,gmSatchel1,Items must be placed on a rune space!,Eşyalar bir rün boşluğuna yerleştirilmeli!,
,gmSatchel2,You can't move items once they're crammed in!,Eşyaları tıkıştırdıktan sonra hareket ettiremezsin!,
,gmSatchel3,There's no space to cram it in!,İçine sığdıracak yer yok!,
Tote,gmTote1,Carvings must be placed in your Backpack,Oymaları çantana yerleştirerek kullanmalısın,
,gmTote2,Carvings in hand,Eldeki oymalar,
,gmTote3,Discarded Carvings,Elden çıkarılmış oymalar,
,gmTote4,Banished Carvings,Sürgün edilmiş oymalar,
Run Types,rt1,standard,standart, WARNING: AUTO-TRANSLATION #####################################################
,rt1d,A basic run with no special settings!,Özel ayar gerektirmeyen basit bir koşu!, WARNING: AUTO-TRANSLATION #####################################################
,rt2,No experience,Tecrübesiz, WARNING: AUTO-TRANSLATION #####################################################
,rt3,Bombs Away,Bombalar Uzakta, WARNING: AUTO-TRANSLATION #####################################################
,rt4,Easy Mode,Kolay mod, WARNING: AUTO-TRANSLATION #####################################################
,rt5,Hard Mode,Zor Mod, WARNING: AUTO-TRANSLATION #####################################################
,rt5b,Hard Mode 2,Zor Mod 2, WARNING: AUTO-TRANSLATION #####################################################
,rt5c,Hard Mode 3,Zor Mod 3, WARNING: AUTO-TRANSLATION #####################################################
,rt5dd,Hard Mode 4,Zor Mod 4, WARNING: AUTO-TRANSLATION #####################################################
,rt5v5,Hard Mode 5,Zor Mod 5, WARNING: AUTO-TRANSLATION #####################################################
,rt5e,Unfair Mode,Haksız Mod, WARNING: AUTO-TRANSLATION #####################################################
,rt5f,Hard Puzzle Mode,Zor Bulmaca Modu, WARNING: AUTO-TRANSLATION #####################################################
,rt6,Pauper Mode,Kişi Modu, WARNING: AUTO-TRANSLATION #####################################################
,rt7,Glass Cannon,Cam Top, WARNING: AUTO-TRANSLATION #####################################################
,rt8,5 by 5 challenge,5'e 5 meydan okuma, WARNING: AUTO-TRANSLATION #####################################################
,rt8b,5 by 7 challenge,5'e 7 meydan okuma, WARNING: AUTO-TRANSLATION #####################################################
,rt9,Another way,Diğer yol, WARNING: AUTO-TRANSLATION #####################################################
,rt10,Big Mode,Büyük Mod, WARNING: AUTO-TRANSLATION #####################################################
,rt11,Classic Matthew,klasik Matta, WARNING: AUTO-TRANSLATION #####################################################
,rt12,Endless Dream,Sonsuz Rüya, WARNING: AUTO-TRANSLATION #####################################################
,rt13,Great Pair,harika çift, WARNING: AUTO-TRANSLATION #####################################################
,rt14,Horrible Curse,Korkunç Lanet, WARNING: AUTO-TRANSLATION #####################################################
,rt15,Horrible Luck,Korkunç Şans, WARNING: AUTO-TRANSLATION #####################################################
,rt16,Lethal,öldürücü, WARNING: AUTO-TRANSLATION #####################################################
,rt17,Penny Pincher,kuruş kıskacı, WARNING: AUTO-TRANSLATION #####################################################
,rt18,Puzzle Mode,Bulmaca Modu, WARNING: AUTO-TRANSLATION #####################################################
,rt19,Quick and Easy,Çabuk ve kolay, WARNING: AUTO-TRANSLATION #####################################################
,rt20,Scaling Energy,Ölçeklendirme Enerjisi, WARNING: AUTO-TRANSLATION #####################################################
,rt21,Small Paws,Küçük Pençeler, WARNING: AUTO-TRANSLATION #####################################################
,rt22,Standard Energy,Standart Enerji, WARNING: AUTO-TRANSLATION #####################################################
,rt23,Strong Start,Güçlü Başlangıç, WARNING: AUTO-TRANSLATION #####################################################
,rt24,Trash Blaster,çöp patlatıcı, WARNING: AUTO-TRANSLATION #####################################################
